"(Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,489.0,489.0,493.0,475.0,548.0,625.0
mean,2.191717791411043,2.569529652351738,2.463995943204868,1.1216167249177627,1.4949817518248176,4.3232095703125
std,1.9265928884691832,2.1935710796777124,2.2015669899790975,1.2094809965280309,1.5597770312563752,3.9959736384650433
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.0,0.75,0.25,0.5,1.25
50%,1.75,2.0,2.0,0.75,1.25,3.2540283203122726
68%,2.5,3.0,3.0,1.25,1.75,5.25
90%,4.25,5.299999999999997,5.25,2.25,3.0,9.900000000000006
95%,5.25,7.0,6.599999999999994,3.0749999999999886,4.0,12.0
99%,10.090000000000003,10.75,9.289999999999992,6.314999999999998,6.779999999999973,16.5
99.7%,12.554000000000002,11.536000000000001,11.143,8.038999999999987,12.468000000000075,22.13400000000013
max,13.5,15.0,19.75,9.0,18.25,31.0
