"(Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,489.0,489.0,492.0,475.0,548.0,625.0
mean,2.1901840490797544,2.565950920245399,2.472560975609756,1.1395114617598678,1.4940693430656935,4.3196095703125
std,1.9263130945377676,2.1962783269407185,2.2021118234631305,1.27272059803117,1.5601400498266365,3.9974790458059397
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.0,0.75,0.25,0.5,1.25
50%,1.75,2.0,2.0,0.75,1.25,3.25
68%,2.5,3.0,3.0,1.25,1.75,5.25
90%,4.25,5.299999999999997,5.25,2.4000000000000057,3.0,9.900000000000006
95%,5.25,7.0,6.612499999999997,3.3249999999999886,4.0,12.0
99%,10.090000000000003,10.75,9.294999999999987,6.694999999999993,6.779999999999973,16.5
99.7%,12.554000000000002,11.536000000000001,11.14524999999999,8.683499999999981,12.468000000000075,22.13400000000013
max,13.5,15.0,19.75,9.75,18.25,31.0
